health_operating_expenses_total,76.42828,52.3318,25.796,19.42,13.044,12.672,12.3,11.699,11.149,22.25,33.3,64.8,50.4,73.5,81.5,57.4,48.4
health_operating_expenses_growth_annual
health_operating_expenses_stable_years
health_operating_expenses_growth_years
health_median_2yr_net_income,131.6
health_industry_analysis
health_capex,-288.5
health_capex_growth_1y,-0.30602
health_capex_growth_annual,-0.23716
health_net_debt,131.6
health_management_rate_return,0.17934
health_book_value_per_share,1.45254
health_levered_free_cash_flow,-37.1
health_levered_free_cash_flow_1y,213.7
health_levered_free_cash_flow_2y,-849.6
health_levered_free_cash_flow_history_date,1577750400,1585612800,1593475200,1601424000,1609372800,1617148800,1625011200,1632960000,1640908800,1648684800,1656547200,1664496000,1672444800,1680220800,1688083200,1703980800,1735603200,1743379200,1751241600,1759190400,1767139200
health_levered_free_cash_flow_history,-74.12275,-90.04225,-119.854,-182.49668,-239.86524,-199.09339,-143.068,-13.0285,117.011,78.5555,40.1,20.102,0.052,-24.7,-49.4,-849.6,213.7,100.75,-12.2,-24.65,-37.1
health_levered_free_cash_growth_annual
health_levered_free_cash_flow_growth_annual,0.13544
health_levered_free_cash_flow_growth_years
health_levered_free_cash_flow_stable_years
health_cash_from_investing,-288.5
health_net_debt_to_ebitda,0.36085
health_capitalisation_percent,0.53436
health_capitalisation_percent_1y,0.33466
health_cash_operating_growth_1y,-0.42154
health_cash_from_investing_1y,-218.6
health_inventory_growth_1y,4.29546
health_net_operating_assets,215.02212
health_net_operating_assets_1y,221.56091
health_aggregate_accruals,-3.58905
health_accounts_receivable_growth_1y,-0.07767
health_accounts_receivable_percent,0.09068
health_long_term_assets,1478.5
health_last_balance_sheet_update,1767139200
health_total_debt_history_date,1435622400,1443571200,1451520000,1459382400,1467244800,1475193600,1483142400,1490918400,1498780800,1506729600,1514678400,1522454400,1530316800,1538265600,1546214400,1553990400,1561852800,1569801600,1577750400,1585612800,1593475200,1601424000,1609372800,1617148800,1625011200,1632960000,1640908800,1648684800,1656547200,1664496000,1672444800,1680220800,1688083200,1703980800,1735603200,1743379200,1751241600,1759190400,1767139200
health_total_debt_history,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,27.906,27.906,27.1,27.1,27.6,27.6,28.1,28.1,264.5,333.5,335.5,335.5,337.7,337.7
health_current_portion_lease_liabilities,0.7
health_long_term_portion_lease_liabilities,0.4
health_total_lease_liabilities,1.1
health_restricted_cash
health_restricted_cash_ratio
health_levered_free_cash_flow_break_even_years
health_net_operating_assets_ltm_history_offset,0,-1,-2,-3
health_net_operating_assets_ltm_history,1164.1,968.7,1008.1,243.5
health_aggregate_accruals_ltm_history_offset,0,-1,-2,-3
health_aggregate_accruals_ltm_history,162.6,-86.2,1094.6,110.797
health_accrual_ratio_from_cashflow_ltm_history_offset,0,-1,-2
health_accrual_ratio_from_cashflow_ltm_history,0.15248,-0.08721,1.74912
health_total_assets_ltm_history_offset,0,-1,-2,-3,-4,-5
health_total_assets_ltm_history,1773.6,1941.5,1932.5,1256.8,1102.832,1008.35665
health_total_current_liab_ltm_history_offset,0,-1,-2,-3,-4,-5
health_total_current_liab_ltm_history,110,229.6,220.1,256.5,129.156,69.81689
management_management_tenure,0.41667
management_board_tenure,3.91667
management_management_age
management_board_age,68
management_insider_buying_ratio,1
management_total_shares_bought,119903290
management_total_shares_sold,118234249
management_total_employees,167
management_ceo_compensation_date,1767139200
management_ceo_compensation,941269
management_ceo_salary_growth_1y
management_industry_analysis
management_ceo_salary_growth_annual
management_ceo_compensation_total,941269
management_ceo_compensation_salary,133333
management_ceo_compensation_salary_usd,133333
management_ceo_compensation_total_usd,941269
management_ceo_compensation_salary_history_date,1767139200
management_ceo_compensation_salary_history,133333
management_ceo_salary_fraction,0.14165
management_total_board_members_count,7
management_independent_board_members_count,6
management_independent_board_members_ratio,0.85714
misc_min_price,1.425
misc_max_price,2.24
misc_min_price_52w,1.395
misc_max_price_52w,2.26
misc_price_spread,0.60574
misc_is_volatile,1
misc_analyst_count,9
misc_is_fund,
misc_industry_analysis
misc_days_since_last_trade,0
misc_shares_outstanding_single_growth_1y,-0.03589
misc_shares_outstanding_single_growth_5y,0.28361
misc_daily_return_standard_deviation_90d,0.04243
misc_daily_return_standard_deviation_1y,0.03239
past_revenue,628.6
past_revenue_usd,628.6
past_revenue_ltm_history_offset,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
past_revenue_ltm_history,628.6,776.5,825.8,497.974,333.505,23.804,1.43143,0.58463,0.42663,0.86531,2.38812
past_operating_revenue,628.6
past_net_income,125.5
past_net_income_usd,125.5
past_net_income_ltm_history_offset,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
past_net_income_ltm_history,125.5,127.5,245,110.849,-91.842,-68.60832,-21.1673,-117.59309,-79.08376,-21.30098,-44.86732
past_earnings_per_share,0.17656
past_earnings_per_share_ltm_history_offset,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
past_earnings_per_share_ltm_history,0.16936,0.16061,0.40379,0.19815,-0.16464,-0.12502,-0.07243,-0.47886,-0.32224,-0.08453,-0.18719
past_earnings_per_share_1y,0.16061
past_earnings_per_share_3y,0.19815
past_earnings_per_share_5y,-0.12502
past_earnings_per_share_5y_avg,-0.06966
past_ebt_excluding,110.3
past_earnings_continued_ops,125.5
past_total_assets,1773.6
past_total_equity,1032.5
past_current_liabilities,110
past_return_on_equity,0.12155
past_return_on_assets,0.08959
past_return_on_capital_employed,0.11866
past_return_on_capital_employed_past,0.20961
past_return_on_capital_growth,0.5661
past_earnings_per_share_growth_1y,0.05442
past_earnings_per_share_growth_3y,-0.17209
past_earnings_per_share_growth_5y,0.43481
past_net_income_1y,127.5
past_net_income_2y,245
past_net_income_3y,110.849
past_net_income_4y,-91.842
past_net_income_5y,-68.60832
past_net_income_5y_avg,-3.58509
past_net_income_growth_1y,-0.01569
past_net_income_growth_3y,-0.05201
past_net_income_growth_5y,0.47314
past_revenue_growth_1y,-0.19047
past_revenue_growth_3y,0.06976
past_revenue_growth_5y,0.27263
past_days_since_last_update,117
past_last_earnings_update,1767139200
past_last_earnings_update_annual,1767139200
past_industry_analysis_d_a_expense,1.8
past_industry_analysis_r_d_expense
past_industry_analysis_non_op_expense,71.9
past_industry_analysis_sales_marketing,2.7
past_industry_analysis_revenue_segments,628.6
past_industry_analysis_stock_based_comp,2.8
past_industry_analysis_general_administrative,45.7
past_industry_analysis_selling_general_admin_expenses,48.4
past_ebit,197.4
past_ebit_ltm_history_offset,0,-1,-2,-3,-4,-5
past_ebit_ltm_history,197.4,318.4,424.6,209.67,103.562,-93.21033
past_ebit_3y_avg,26.9009
past_ebit_5y_avg,26.9009
past_ebit_single_growth_1y,-0.38003
past_ebit_single_growth_3y,-0.05852
past_ebit_single_growth_5y
past_ebit_margin_1y,0.41005
past_ebit_margin,0.31403
past_ebitda,364.7
past_ebitda_margin,0.58018
past_gross_profit_margin,0.4106
past_last_filing_date,1771977600
past_net_income_single_growth_3y,0.13217
past_net_income_single_growth_5y
past_earnings_per_share_single_growth_3y,-0.14532
past_earnings_per_share_single_growth_5y
past_gross_profit_margin_1y,0.48822
past_net_income_margin,0.19965
past_net_income_margin_1y,0.1642
past_change_in_unearned_revenue
past_unearned_revenue_percent_of_sales,0
past_ebt_including,143.2
past_unusual_items,32.9
past_unusual_item_ratio,0.29828
